codigo_postal,nombre,tipo,municipio_id,estado_id
21225,Rivera,Colonia,Mexicali,02
21225,Gran Reserva,Fraccionamiento,Mexicali,02
21225,Los Xielos Residencial,Fraccionamiento,Mexicali,02
21225,Cerrada del Sol,Fraccionamiento,Mexicali,02
21225,Veredas del Sol,Fraccionamiento,Mexicali,02
21225,Residencial Marsella,Fraccionamiento,Mexicali,02
21225,Privada Vistahermosa,Fraccionamiento,Mexicali,02
21226,Duara Residencial,Fraccionamiento,Mexicali,02
21226,Aurea Residencial,Fraccionamiento,Mexicali,02
21229,Alianza Para La Producción,Colonia,Mexicali,02
21229,Aduana Garita 2,Colonia,Mexicali,02
21229,Parque Industrial Mexicali VIII,Zona industrial,Mexicali,02
21229,PIMSA IV,Zona industrial,Mexicali,02
21229,Parque Industrial Álamo,Zona industrial,Mexicali,02
21229,Las Garzas,Fraccionamiento,Mexicali,02
21230,Aviación,Colonia,Mexicali,02
21230,Justo Sierra,Colonia,Mexicali,02
21230,Las Fuentes,Fraccionamiento,Mexicali,02
21230,Los Pinos,Fraccionamiento,Mexicali,02
21230,Periodista,Colonia,Mexicali,02
21230,Unidad Patria,Unidad habitacional,Mexicali,02
21230,La Escondida,Fraccionamiento,Mexicali,02
21239,Ciudad Deportiva,Colonia,Mexicali,02
21240,Prohogar,Colonia,Mexicali,02
21240,Santa Maria,Colonia,Mexicali,02
21240,Vista Hermosa,Fraccionamiento,Mexicali,02
21240,Cataviña,Fraccionamiento,Mexicali,02
21250,Benito Juárez,Colonia,Mexicali,02
21250,Constitución,Colonia,Mexicali,02
21250,Mártires de 1906,Colonia,Mexicali,02
21250,Miraflores,Colonia,Mexicali,02
21250,República Mexicana,Colonia,Mexicali,02
21250,Roma,Colonia,Mexicali,02
21250,Residencial el Lienzo,Fraccionamiento,Mexicali,02
21254,Antea Residencial,Fraccionamiento,Mexicali,02
21254,Vía Residencial,Fraccionamiento,Mexicali,02
21254,Parque Industrial Ex-XXI,Zona industrial,Mexicali,02
21254,San Pedro Residencial,Fraccionamiento,Mexicali,02
21254,Parque Industrial Calafia,Zona industrial,Mexicali,02
21254,Residencial Coronado,Fraccionamiento,Mexicali,02
21254,Residencial San Sebastián,Fraccionamiento,Mexicali,02
21254,Ampliación Parque Industrial Ex-XXI,Zona industrial,Mexicali,02
21254,Real del Sol,Fraccionamiento,Mexicali,02
21254,Versalles Residencial,Fraccionamiento,Mexicali,02
21254,Privada San Miguel,Fraccionamiento,Mexicali,02
21254,Hacienda Bilbao,Fraccionamiento,Mexicali,02
21254,San Pedro Residencial Segunda Sección,Fraccionamiento,Mexicali,02
21255,Antares Residencial,Fraccionamiento,Mexicali,02
21255,Cumbres Provenza,Fraccionamiento,Mexicali,02
21255,Villas San Ángel,Fraccionamiento,Mexicali,02
21255,Montecarlo,Fraccionamiento,Mexicali,02
21255,Residencial Casa Maya,Fraccionamiento,Mexicali,02
21255,Puerta de Hierro,Fraccionamiento,Mexicali,02
21255,Montecarlo 2da. Sección,Fraccionamiento,Mexicali,02
21255,Montecarlo 3ra. Sección,Fraccionamiento,Mexicali,02
21255,Residencial Casa Maya II,Fraccionamiento,Mexicali,02
