ID,TIPO_REPORTE_ID,AREA_ID,MEDIO_ID,DIREECION_ID,ZONA DEL ESTADO,TIPO DE DESAPARICION,ESTATUS DE LA PERSONA DESAPARECIDA O NO LOCALIZADA,FECHA DE DESAPARICION,FECHA EN QUE SE PERCATO,FOLIO CEBV
222,5,3,1,222,CENTRO,,NO LOCALIZADA,14/04/2023,14/04/2023,23/SB 0882U-23ZC
223,5,3,1,223,CENTRO,,LOCALIZADA CON VIDA,29/05/2023,29/05/2023,23/SB 0883U-23ZC
224,5,3,1,224,CENTRO,,LOCALIZADA CON VIDA,30/05/2023,30/05/2023,23/SB 0884U-23ZC
225,5,3,1,225,CENTRO,,LOCALIZADA CON VIDA,30/05/2023,30/05/2023,23/SB 0885U-23ZC
226,5,3,1,226,NORTE,,LOCALIZADA CON VIDA,29/05/2023,29/05/2023,23/SB 0886U-23ZN
227,2,3,1,227,SUR,,NO LOCALIZADA,30/05/2023,30/05/2023,23/SB 0887U-23ZS
228,2,3,1,228,NORTE,,NO LOCALIZADA,26/05/2023,26/05/2023,23/SB 0888U-23ZN
229,2,3,1,229,CENTRO,,NO LOCALIZADA,30/05/2023,31/05/2023,23/SB 0889M-23ZC
230,2,3,1,230,CENTRO,,LOCALIZADA CON VIDA,30/05/2023,30/05/2023,23/SB 0890U-23ZC
231,2,3,1,231,NO ESPECIFICA,,NO LOCALIZADA,28/04/2023,28/04/2023,23/SC 0051U-23QR
232,2,3,1,232,NO APLICA,,NO LOCALIZADA,26/04/2012,26/04/2012,23/SC 0052U-12TM
233,2,3,1,233,NO APLICA,,LOCALIZADA CON VIDA,06/05/2023,06/05/2023,23/SC 0053U-23HG
234,2,3,1,234,NO APLICA,,NO LOCALIZADA,29/10/2020,29/10/2020,23/SC 0054U-20SI
235,2,3,1,235,NO APLICA,,NO LOCALIZADA,00/00/2009,00/00/2009,23/SC 0055U-09BC
236,2,1,1,236,NO APLICA,,NO LOCALIZADA,06/05/2023,06/05/2023,23/SC 0056U-23QR
237,2,1,1,237,NO APLICA,,NO LOCALIZADA,20/04/2022,20/04/2022,23/SC 0057U-22CP
238,2,1,1,238,NO APLICA,,NO LOCALIZADA,24/09/2022,24/09/2022,23/SC 0058U-22CS
239,2,1,1,239,BAJA,,BAJA,BAJA,BAJA,23/SC 0059
240,2,1,1,240,NO ESPECIFICA,,NO LOCALIZADA,14/05/2023,14/05/2023,23/SC 0060M-23EM
241,2,1,1,241,NO ESPECIFICA,,NO LOCALIZADA,14/05/2023,14/05/2023,23/SC 0061M-23EM
242,2,1,1,242,NO ESPECIFICA,,NO LOCALIZADA,03/05/2023,03/05/2023,23/SC 0062U-23PU
243,2,1,1,243,NO ESPECIFICA,,NO LOCALIZADA,30/12/2017,30/12/2017,23/SC 0063U-17TM
244,2,1,1,244,NO APLICA,,NO LOCALIZADA,15/05/2023,15/05/2023,23/SC 0064U-23OX
245,2,1,1,245,NO APLICA,,NO LOCALIZADA,20/09/2022,20/09/2022,23/SC 0065U-22SO
